Bebida,Ingrediente1,Ingrediente2,Ingrediente3,Ingrediente4,Ingrediente5,Ingrediente6,Ingrediente7,Ingrediente8,Medida1,Medida2,Medida3,Medida4,Medida5,Medida6,Medida7,Medida8,linkImagen
Arizona Stingers,Absolut Vodka,Iced tea,,,,,,,2 shots,12 oz lemon,,,,,,,https://www.thecocktaildb.com/images/media/drink/y7w0721493068255.jpg
Arizona Twister,Vodka,Malibu rum,Gold tequila,Orange juice,Pineapple juice,Cream of coconut,Grenadine,Ice,1 shot,1 shot,1 shot,1 splash,1 splash,1 splash,1 dash,crushed,https://www.thecocktaildb.com/images/media/drink/ido1j01493068134.jpg
Army special,Vodka,Gin,Lime juice cordial,Ice,,,,,30 ml,30 ml,45 ml,1/2 glass crushed,,,,,https://www.thecocktaildb.com/images/media/drink/55muhh1493068062.jpg
Arthur Tompkins,Gin,Grand Marnier,Lemon juice,Lemon peel,,,,,2 oz,1/2 oz,2 tsp,1 twist of,,,,,https://www.thecocktaildb.com/images/media/drink/7onfhz1493067921.jpg
Artillery,Sweet Vermouth,Gin,Bitters,,,,,,1 1/2 tsp,1 1/2 oz,2 dashes,,,,,,https://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg
Artillery Punch,Tea,Rye whiskey,Red wine,Rum,Brandy,Benedictine,Orange juice,Lemon juice,1 quart black,1 quart,1 fifth,1 pint Jamaican,1/2 pint,1 1/2 oz,1 pint,1/2 pint,https://www.thecocktaildb.com/images/media/drink/9a4vqb1493067692.jpg
AT&T,Absolut Vodka,Gin,Tonic water,,,,,,1 oz,1 oz,4 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg
Atlantic Sun,Vodka,Southern Comfort,Passion fruit syrup,Sweet and sour,Club soda,,,,2 cl Smirnoff,2 cl,2 cl,6 cl,1 dash,,,,https://www.thecocktaildb.com/images/media/drink/doyxqb1493067556.jpg
Atomic Lokade,Lemonade,Vodka,Blue Curacao,Triple sec, Sugar, Ice,,,5 oz,1 oz,1/2 oz,1/2 oz,,,,,https://www.thecocktaildb.com/images/media/drink/n3zfrh1493067412.jpg
Auburn Headbanger,Jägermeister,Goldschlager,,,,,,,1 oz,1 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/vw7iv91493067320.jpg
Autodafé,Vodka,Lime juice, Soda water,,,,,,4 cl,1 dash,,,,,,,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg
Avalanche,Crown Royal,Kahlua,Cream,,,,,,1 shot,1 shot,Fill with,,,,,,https://www.thecocktaildb.com/images/media/drink/uppqty1472720165.jpg
Avalon,3 parts Vodka,Pisang Ambon,Apple juice,Lemon juice, Lemonade,,,,,1 part,6 parts,1 1/2 part,,,,,https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg
Aviation,4.5 cl Gin,1.5 cl lemon juice,1.5 cl maraschino liqueur,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ruutxt1478253328.jpg
Aztec Punch,Lemonade,Vodka,Rum,Ginger ale,,,,,1 can,5 oz,7 oz,About 1 bottle,,,,,https://www.thecocktaildb.com/images/media/drink/uqwuyp1454514591.jpg
B-52,Baileys irish cream,Grand Marnier,Kahlua,,,,,,1/3,1/3,1/4,,,,,,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg
B-53,Kahlua,Sambuca,Grand Marnier,,,,,,1/3 shot,1/3 shot,1/3 shot,,,,,,https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg
Baby Eskimo,Kahlua,Milk,Vanilla ice-cream,,,,,,2 oz,8 oz,2 scoops,,,,,,https://www.thecocktaildb.com/images/media/drink/wywrtw1472720227.jpg
Baby Guinness,Kahlua,Baileys irish cream,,,,,,,2 1/2 oz,1/2 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/rvyvxs1473482359.jpg
Bacardi Cocktail,Light rum,Lime juice,Sugar syrup,Grenadine,,,,,1 3/4 oz Bacardi,1 oz,1/2 tsp,1 dash,,,,,https://www.thecocktaildb.com/images/media/drink/n433t21504348259.jpg
Bahama Mama,3 parts Rum,1 part Dark Rum,1 part Banana liqueur,1 part Grenadine,2 parts Pineapple Juice,2 parts Orange Juice,1 part Sweet and Sour,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/tyb4a41515793339.jpg
Bailey's Dream Shake,Baileys irish cream,Vanilla ice-cream, Cream,,,,,,2 oz,2 scoops,,,,,,,https://www.thecocktaildb.com/images/media/drink/qxrvqw1472718959.jpg
Balmoral,Scotch,Sweet Vermouth,Dry Vermouth,Bitters,,,,,1 1/2 oz,1/2 oz,1/2 oz,2 dashes,,,,,https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg
Banana Cantaloupe Smoothie,Cantaloupe,Banana,,,,,,,Juice of 1/2,1,,,,,,,https://www.thecocktaildb.com/images/media/drink/uqxqsy1468876703.jpg
